date,clade
3/23/22,21L (Omicron)
3/28/22,21K (Omicron)
3/24/22,21K (Omicron)
3/23/22,21L (Omicron)
3/26/22,21L (Omicron)
3/22/22,21L (Omicron)
3/23/22,21L (Omicron)
4/1/22,21L (Omicron)
4/3/22,21L (Omicron)
4/14/22,21L (Omicron)
3/23/22,21K (Omicron)
4/8/22,21L (Omicron)
4/4/22,21L (Omicron)
3/22/22,21K (Omicron)
4/4/22,21L (Omicron)
3/23/22,21L (Omicron)
3/23/22,21L (Omicron)
4/1/22,21L (Omicron)
4/1/22,21L (Omicron)
4/1/22,21L (Omicron)
3/26/22,21L (Omicron)
3/25/22,21L (Omicron)
4/1/22,21L (Omicron)
3/25/22,21L (Omicron)
3/27/22,21K (Omicron)
3/26/22,21K (Omicron)
3/23/22,21L (Omicron)
4/1/22,21L (Omicron)
3/23/22,21L (Omicron)
3/25/22,21L (Omicron)
3/28/22,21L (Omicron)
3/28/22,21L (Omicron)
3/28/22,21K (Omicron)
3/21/22,21L (Omicron)
4/20/22,21L (Omicron)
4/2/22,21L (Omicron)
4/2/22,21L (Omicron)
4/4/22,21L (Omicron)
4/4/22,22C (Omicron)
4/20/22,22C (Omicron)
3/27/22,21L (Omicron)
4/1/22,21K (Omicron)
4/20/22,21L (Omicron)
4/1/22,21L (Omicron)
4/2/22,21L (Omicron)
4/19/22,22C (Omicron)
4/15/22,21K (Omicron)
4/1/22,21L (Omicron)
4/5/22,21L (Omicron)
4/20/22,21L (Omicron)
4/15/22,21L (Omicron)
4/4/22,21L (Omicron)
4/20/22,21L (Omicron)
4/4/22,21L (Omicron)
4/4/22,21L (Omicron)
4/4/22,21L (Omicron)
4/4/22,21K (Omicron)
4/4/22,21L (Omicron)
4/4/22,22C (Omicron)
4/18/22,21L (Omicron)
4/15/22,21L (Omicron)
4/4/22,21L (Omicron)
4/4/22,21L (Omicron)
4/15/22,21L (Omicron)
4/13/22,21L (Omicron)
4/13/22,21L (Omicron)
4/1/22,21L (Omicron)
4/6/22,21L (Omicron)
4/6/22,21L (Omicron)
4/19/22,21L (Omicron)
4/6/22,21K (Omicron)
4/7/22,21L (Omicron)
4/6/22,21L (Omicron)
4/6/22,21L (Omicron)
4/5/22,21K (Omicron)
4/6/22,21L (Omicron)
4/6/22,21L (Omicron)
4/5/22,21L (Omicron)
4/9/22,21L (Omicron)
4/5/22,21L (Omicron)
4/5/22,21L (Omicron)
2/27/22,21K (Omicron)
3/15/22,21K (Omicron)
4/5/22,21L (Omicron)
4/5/22,21L (Omicron)
4/5/22,21L (Omicron)
4/1/22,21L (Omicron)
3/29/22,21L (Omicron)
3/30/22,21L (Omicron)
4/6/22,21L (Omicron)
3/31/22,21L (Omicron)
4/6/22,21L (Omicron)
3/31/22,21L (Omicron)
4/1/22,21K (Omicron)
4/5/22,21L (Omicron)
4/5/22,21L (Omicron)
4/6/22,21K (Omicron)
4/5/22,21L (Omicron)
4/9/22,21L (Omicron)
4/6/22,21K (Omicron)
4/11/22,21L (Omicron)
4/6/22,21K (Omicron)
4/6/22,21L (Omicron)
4/11/22,22C (Omicron)
3/8/22,21L (Omicron)
