,IDPHExport20220405043254528.csv_case_count,IDPHExport20220405043254528.csv_deaths,IDPHExport20220405043254528.csv_TotalTestedChange,IDPHExport20220405043256767.csv_case_count,IDPHExport20220405043256767.csv_deaths,IDPHExport20220405043256767.csv_TotalTestedChange,IDPHExport20220405043529843.csv_hosp,IDPHExport20220405043533352.csv_hosp,IDPHExport20220405044003912.csv_Vaccinations,IDPHExport20220405044012526.csv_Vaccinations,positivity_rate,percent_fully_vaccinated,IDPHExport20220202114605524.csv_hosp
6/14/20,164,12,5484,161,3,4685,28,20,,,0.031959878,0,
6/15/20,154,15,4664,124,3,4355,35,24,,,0.030823816,0,
6/16/20,173,28,4487,181,19,3824,41,30,,,0.042594152,0,
6/17/20,153,14,5943,167,35,6170,41,28,,,0.026417898,0,
6/18/20,155,18,4870,166,13,4616,42,26,,,0.033839342,0,
6/19/20,193,22,5108,179,8,4502,43,25,,,0.038709677,0,
6/20/20,148,10,5107,186,16,5022,41,25,,,0.032974627,0,
6/21/20,116,14,5960,176,-1,4873,38,25,,,0.026954676,0,
6/22/20,94,18,3974,153,1,3861,36,25,,,0.031525207,0,
6/23/20,198,2,4432,162,15,3620,35,22,,,0.044709389,0,
6/24/20,163,14,5329,191,25,4862,35,21,,,0.034736532,0,
6/25/20,271,18,6571,241,4,5535,33,22,,,0.042293078,0,
6/26/20,244,18,6932,174,9,6070,31,21,,,0.0321489,0,
6/27/20,217,5,7308,122,5,6451,31,21,,,0.024638418,0,
6/28/20,222,2,6718,126,4,4054,32,21,,,0.032305978,0,
6/29/20,200,11,6666,167,1,4960,31,21,,,0.031567177,0,
6/30/20,204,5,6188,210,6,5096,31,22,,,0.036689117,0,
7/1/20,206,13,7150,169,3,6623,29,23,,,0.027227184,0,
7/2/20,273,12,6602,197,16,6078,30,23,,,0.037066246,0,
7/3/20,256,4,7868,137,4,6534,32,22,,,0.027287877,0,
7/4/20,286,4,9386,180,1,6258,30,22,,,0.029787778,0,
7/5/20,156,3,7218,136,2,5686,30,23,,,0.022628642,0,
7/6/20,139,2,5334,110,1,3653,28,23,,,0.027706687,0,
7/7/20,150,9,5229,122,12,4852,27,25,,,0.02698145,0,
7/8/20,224,5,6637,219,8,6854,27,25,,,0.032836706,0,
7/9/20,300,7,7708,209,5,6767,26,25,,,0.035164076,0,
7/10/20,332,9,7822,268,8,7422,25,26,,,0.039359748,0,
7/11/20,292,10,8669,241,8,5685,25,27,,,0.037132507,0,
7/12/20,258,7,9038,161,7,8349,25,26,,,0.024098464,0,
7/13/20,173,5,8144,154,-1,5933,27,25,,,0.023229381,0,
7/14/20,184,9,5129,118,3,4428,27,25,,,0.031599874,0,
7/15/20,274,5,8306,202,-1,6811,26,24,,,0.031487729,0,
7/16/20,333,5,7976,219,0,8024,27,25,,,0.0345,0,
7/17/20,346,9,10954,230,6,6593,29,24,,,0.032826124,0,
7/18/20,244,7,10217,258,1,7187,30,22,,,0.028843944,0,
7/19/20,183,5,7845,195,-2,6176,31,24,,,0.026959561,0,
7/20/20,187,0,7815,195,1,6022,30,26,,,0.02760714,0,
7/21/20,192,4,6407,220,7,6105,31,25,,,0.032928389,0,
7/22/20,352,4,6995,308,9,6800,32,25,,,0.047843422,0,
7/23/20,386,6,8234,285,2,7034,32,24,,,0.043948127,0,
7/24/20,365,5,10554,251,8,7959,29,25,,,0.033273916,0,
7/25/20,335,1,7723,209,6,6813,30,27,,,0.037424326,0,
7/26/20,355,-1,10788,273,2,6931,30,25,,,0.035442181,0,
7/27/20,268,9,6757,157,3,4918,30,24,,,0.03640257,0,
7/28/20,288,9,6394,145,6,4562,29,23,,,0.039521723,0,
7/29/20,311,5,6605,249,2,5320,28,26,,,0.046960168,0,
7/30/20,370,5,8886,316,3,7000,28,26,,,0.043182677,0,
7/31/20,455,8,10592,351,6,8672,30,26,,,0.041839701,0,
8/1/20,378,3,9385,260,-1,6293,29,27,,,0.040693966,0,
8/2/20,396,0,9142,186,5,6441,28,28,,,0.037348392,0,
8/3/20,341,3,6844,193,1,4374,28,29,,,0.047602068,0,
8/4/20,203,2,9945,294,1,7287,28,30,,,0.02884169,0,
8/5/20,312,7,8091,369,2,7335,30,29,,,0.044146247,0,
8/6/20,350,1,6756,375,1,6833,29,29,,,0.053351976,0,
8/7/20,317,8,9927,535,1,8523,27,30,,,0.046178862,0,
8/8/20,453,-1,10046,410,2,8389,26,29,,,0.046813127,0,
8/9/20,299,3,9047,283,4,7601,27,31,,,0.034959154,0,
8/10/20,253,0,8802,248,0,6257,26,30,,,0.033269141,0,
8/11/20,227,2,7991,309,2,7079,26,28,,,0.035567352,0,
8/12/20,255,1,6029,305,1,5588,25,28,,,0.048205216,0,
8/13/20,383,5,6294,361,4,6962,26,29,,,0.056125528,0,
8/14/20,490,5,10429,446,3,8008,27,28,,,0.050767478,0,
8/15/20,317,1,10035,303,1,8601,28,29,,,0.033268942,0,
8/16/20,337,5,7876,279,4,6488,27,28,,,0.04288499,0,
8/17/20,293,2,9669,367,0,7514,28,28,,,0.038410056,0,
8/18/20,242,1,7480,309,8,6820,30,29,,,0.038531469,0,
8/19/20,437,5,7247,404,6,6499,30,29,,,0.061181435,0,
8/20/20,358,1,9342,387,3,8232,29,30,,,0.04239217,0,
8/21/20,447,7,9674,440,2,9004,28,31,,,0.047489025,0,
8/22/20,453,6,9918,470,5,9243,30,29,,,0.048170764,0,
8/23/20,354,4,8960,387,1,8010,31,30,,,0.043665292,0,
8/24/20,300,1,7963,269,1,6340,29,31,,,0.039781864,0,
8/25/20,244,2,7749,302,5,5702,28,31,,,0.040591778,0,
8/26/20,328,4,7047,421,5,7740,30,32,,,0.0506526,0,
8/27/20,221,2,5939,298,6,5388,30,32,,,0.045819723,0,
8/28/20,516,5,8417,366,1,6952,31,32,,,0.057388249,0,
8/29/20,218,1,8267,333,0,7220,29,33,,,0.035578227,0,
8/30/20,435,6,8878,444,2,9729,30,30,,,0.047240286,0,
8/31/20,301,1,7880,273,2,5324,32,30,,,0.043471675,0,
9/1/20,156,3,4883,259,5,3902,30,29,,,0.047239613,0,
9/2/20,284,4,5604,340,4,5283,29,28,,,0.057316065,0,
9/3/20,170,4,6689,226,3,5899,28,26,,,0.031458532,0,
9/4/20,718,3,20189,815,3,20765,29,26,,,0.037432241,0,
9/5/20,523,3,10214,548,3,10612,28,26,,,0.051426102,0,
9/6/20,210,1,7861,252,1,6802,25,24,,,0.031507877,0,
9/7/20,288,2,5102,256,1,4069,24,25,,,0.059317414,0,
9/8/20,194,-1,8828,256,0,5841,24,26,,,0.030676938,0,
9/9/20,128,3,6211,201,1,5280,24,25,,,0.028631103,0,
9/10/20,234,1,5061,328,2,6902,23,24,,,0.046978183,0,
9/11/20,376,4,7959,347,5,8265,21,25,,,0.044563609,0,
9/12/20,328,10,8651,338,6,8078,22,25,,,0.039811106,0,
9/13/20,258,3,8316,191,2,7890,22,25,,,0.027705788,0,
9/14/20,257,0,7931,216,1,5983,21,26,,,0.033994538,0,
9/15/20,185,3,5649,231,0,5099,19,26,,,0.038704875,0,
9/16/20,248,4,7120,308,5,7890,19,26,,,0.037041972,0,
9/17/20,400,-1,7493,347,1,7992,20,26,,,0.048240232,0,
9/18/20,269,3,11398,318,1,8188,18,25,,,0.029970387,0,
9/19/20,455,5,11609,541,2,19385,18,24,,,0.032135252,0,
9/20/20,275,2,9534,237,3,7584,19,23,,,0.029910036,0,
9/21/20,245,1,6600,250,4,5252,18,23,,,0.041765103,0,
9/22/20,201,2,6935,294,3,5849,20,22,,,0.038720275,0,
9/23/20,302,4,6418,243,4,5721,20,23,,,0.044896614,0,
9/24/20,356,5,8578,451,2,9649,20,23,,,0.044274977,0,
9/25/20,362,0,11229,423,7,11135,20,23,,,0.035101055,0,
9/26/20,407,4,11525,462,5,10301,21,24,,,0.0398149,0,
9/27/20,275,4,9749,275,3,7477,22,26,,,0.03192848,0,
9/28/20,376,4,8398,305,3,7717,25,23,,,0.042258765,0,
9/29/20,174,3,7818,208,1,6668,24,23,,,0.026370289,0,
9/30/20,326,1,6410,439,3,7813,23,24,,,0.053786121,0,
10/1/20,415,2,10110,275,2,9329,22,24,,,0.035495653,0,
10/2/20,332,2,12509,433,8,11003,21,23,,,0.032536577,0,
10/3/20,451,4,12814,473,2,12531,21,25,,,0.036456895,0,
10/4/20,239,8,10494,301,3,9005,20,26,,,0.027693728,0,
10/5/20,339,0,8392,407,4,6738,22,28,,,0.049306015,0,
10/6/20,192,3,8421,269,5,6222,23,31,,,0.03148262,0,
10/7/20,324,4,6593,488,1,8371,24,31,,,0.054263566,0,
10/8/20,513,0,11708,557,6,11487,26,31,,,0.046130632,0,
10/9/20,440,4,12912,477,6,11153,28,33,,,0.038105132,0,
10/10/20,575,3,12784,552,6,11725,28,32,,,0.045983108,0,
10/11/20,562,0,14162,443,2,10501,30,34,,,0.040749301,0,
10/12/20,506,1,10872,542,3,8405,29,33,,,0.054365306,0,
10/13/20,487,4,10544,672,7,9148,28,31,,,0.058856388,0,
10/14/20,452,4,8362,395,2,8003,28,32,,,0.051756798,0,
10/15/20,709,4,8724,753,7,9638,30,34,,,0.079620956,0,
10/16/20,774,4,14603,836,3,14637,29,34,,,0.05506156,0,
10/17/20,885,6,14569,690,5,15028,30,33,,,0.053214853,0,
10/18/20,932,3,16686,760,4,14725,33,36,,,0.05386648,0,
10/19/20,566,1,11192,720,6,8803,32,38,,,0.064316079,0,
10/20/20,542,2,10460,717,3,9522,36,42,,,0.063006706,0,
10/21/20,906,6,9808,776,6,10456,40,47,,,0.083004343,0,
10/22/20,1025,4,14165,875,5,13187,41,49,,,0.069464756,0,
10/23/20,803,0,15388,595,2,11878,41,50,,,0.051272647,0,
10/24/20,1182,6,14053,1198,11,15414,43,54,,,0.080768317,0,
10/25/20,1047,6,14347,722,6,13529,45,55,,,0.063459607,0,
10/26/20,926,8,12888,953,4,10638,47,59,,,0.079869081,0,
10/27/20,652,3,11296,715,3,9743,51,59,,,0.064974571,0,
10/28/20,999,6,10260,1277,5,10541,54,62,,,0.109417816,0,
10/29/20,1405,8,11726,1136,5,13552,56,66,,,0.100522193,0,
10/30/20,1507,2,18336,1249,4,15117,60,65,,,0.082384241,0,
10/31/20,1686,6,17411,1569,10,17072,65,67,,,0.094394339,0,
11/1/20,1888,4,19536,1554,11,15799,67,69,,,0.0974105,0,
11/2/20,1473,4,15889,1165,6,11359,72,77,,,0.096814445,0,
11/3/20,1184,2,14985,1260,5,13576,73,81,,,0.085571234,0,
11/4/20,1387,17,11226,1605,7,11967,73,84,,,0.129004441,0,
11/5/20,2994,10,14513,2683,23,14478,79,87,,,0.195819392,0,
11/6/20,1771,10,16063,1642,2,15241,84,92,,,0.1090276,0,
11/7/20,2300,9,17132,2358,17,18082,89,98,,,0.132276935,0,
11/8/20,1890,7,17315,1848,20,16825,94,101,,,0.109490334,0,
11/9/20,2435,1,14185,2013,5,12070,99,102,,,0.169415349,0,
11/10/20,2080,15,19848,2235,7,15848,102,106,,,0.120881892,0,
11/11/20,1860,16,15085,2177,34,14453,112,108,,,0.136671406,0,
11/12/20,2699,7,15569,2556,1,17319,112,110,,,0.159784724,0,
11/13/20,2986,2,18712,2959,2,17378,108,108,,,0.164727071,0,
11/14/20,2012,22,21632,1718,46,21205,112,111,,,0.087074258,0,
11/15/20,2277,13,20365,2432,7,16140,118,114,,,0.128996028,0,
11/16/20,2442,3,16720,2065,16,15548,118,120,,,0.13967398,0,
11/17/20,2067,12,19547,2329,7,16029,118,121,,,0.123566449,0,
11/18/20,1445,44,17316,980,33,16998,115,120,,,0.070670863,0,
11/19/20,2841,15,17879,3014,20,20360,110,117,,,0.153115929,0,
11/20/20,2334,12,20386,2115,37,18969,112,118,,,0.113047897,0,
11/21/20,2145,17,22872,2148,33,18953,108,120,,,0.102641961,0,
11/22/20,1936,19,18726,1934,20,14583,106,118,,,0.116184815,0,
11/23/20,1689,19,21730,1632,15,17266,103,113,,,0.085162581,0,
11/24/20,1537,23,17404,1370,21,17051,98,109,,,0.084370919,0,
11/25/20,2005,17,22485,2183,8,21007,98,108,,,0.096293571,0,
11/26/20,2611,3,23129,2206,26,17357,96,100,,,0.1189794,0,
11/27/20,1478,16,18802,1263,10,14208,95,100,,,0.083035444,0,
11/28/20,1200,30,14685,1512,45,13269,100,98,,,0.097016527,0,
11/29/20,1198,11,10353,1440,22,11822,100,101,,,0.118962796,0,
11/30/20,974,24,11229,1175,41,12001,99,98,,,0.092509686,0,
12/1/20,1965,14,17415,2388,6,24624,100,97,,,0.103546707,0,
12/2/20,1441,37,14057,1971,35,14076,99,95,,,0.121281058,0,
12/3/20,2227,11,18147,1963,32,17410,101,103,,,0.117838963,0,
12/4/20,1757,19,19663,2041,7,18371,97,100,,,0.099858022,0,
12/5/20,1896,30,18440,1795,34,17790,95,104,,,0.101876898,0,
12/6/20,1649,13,15159,1541,8,14702,98,105,,,0.106828304,0,
12/7/20,1862,24,15948,1828,38,15465,96,104,,,0.117467291,0,
12/8/20,1179,19,15891,1332,14,16012,90,103,,,0.078707332,0,
12/9/20,1309,17,12616,1580,47,13092,91,106,,,0.11237747,0,
12/10/20,2098,36,18926,2463,22,19446,90,105,,,0.118862712,0,
12/11/20,1836,51,18608,1514,19,14678,87,106,,,0.100642913,0,
12/12/20,1724,3,19040,1733,29,19460,90,107,,,0.089792208,0,
12/13/20,1473,10,11353,1475,18,10544,90,107,,,0.134630315,0,
12/14/20,1691,43,19129,1367,45,16629,91,108,,,0.085519324,0,
12/15/20,1197,3,16716,1350,10,14515,92,105,1,,0.081553585,1.90E-07,
12/16/20,1209,24,15651,894,14,15464,90,98,1,0,0.06758798,1.90E-07,
12/17/20,1829,26,15319,1315,41,14568,85,96,1,0,0.105196239,1.90E-07,
12/18/20,1385,43,16090,1374,33,17518,81,92,1,0,0.082093549,1.90E-07,
12/19/20,1267,3,17407,1537,22,15129,82,94,1,0,0.086181461,1.90E-07,
12/20/20,1132,16,15589,1132,23,13025,76,96,1,0,0.079122108,1.90E-07,
12/21/20,1013,25,20882,907,45,17074,69,89,1,0,0.050584888,1.90E-07,
12/22/20,1067,21,15249,1285,19,15621,76,95,1,0,0.076190476,1.90E-07,
12/23/20,1071,27,14196,1278,22,12488,75,93,1,0,0.08803028,1.90E-07,
12/24/20,1112,22,17709,1275,13,17510,71,89,1,0,0.067775916,1.90E-07,
12/25/20,1024,26,16188,1093,41,16761,64,83,1,0,0.064250812,1.90E-07,
12/26/20,771,15,13805,496,12,10254,66,82,1,0,0.052662205,1.90E-07,
12/27/20,761,25,10169,690,24,8000,70,82,1,0,0.079861302,1.90E-07,
12/28/20,722,6,11679,816,10,9979,70,84,1,0,0.071013021,1.90E-07,
12/29/20,903,15,10644,1014,16,12197,69,81,1,0,0.083928024,1.90E-07,
12/30/20,1177,36,11739,1364,31,11849,63,78,1,0,0.107724267,1.90E-07,
12/31/20,1391,17,14298,1334,17,15114,64,75,1,0,0.092649259,1.90E-07,
1/1/21,1272,25,16940,1280,31,17600,61,73,1,0,0.07388535,1.90E-07,
1/2/21,890,1,13722,848,4,11020,63,78,1,0,0.070244928,1.90E-07,
1/3/21,853,28,6901,814,36,8199,61,77,1,0,0.110397351,1.90E-07,
1/4/21,1005,21,11265,843,19,9723,62,76,31,48,0.088050314,1.50E-05,
1/5/21,1202,16,13051,1328,17,13099,62,76,119,223,0.096749522,6.48E-05,
1/6/21,1192,9,12647,1495,34,12699,65,76,424,591,0.106012783,0.000192397,
1/7/21,1778,27,17031,1553,23,18440,67,75,3155,2223,0.093907699,0.001019422,
1/8/21,1766,18,18442,1733,26,18602,65,77,7085,6038,0.094455242,0.002487517,
1/9/21,1392,15,18303,1095,9,17385,66,77,9919,8826,0.06968729,0.00355319,
1/10/21,894,31,15586,905,28,13734,66,77,11294,10243,0.061357435,0.004082425,
1/11/21,857,15,13290,824,28,11430,66,75,14104,13531,0.068001618,0.005238325,
1/12/21,1287,8,12778,1401,13,15624,64,76,16997,16020,0.094641222,0.006258505,
1/13/21,888,14,11590,1170,13,10373,65,75,18928,18601,0.093703046,0.007113773,
1/14/21,1509,7,19703,932,5,19968,60,73,21715,21329,0.061531093,0.008159163,
1/15/21,1266,20,16663,1346,26,17541,60,72,22064,21838,0.076365337,0.008321801,
1/16/21,984,13,16409,1131,31,15575,61,71,22304,22265,0.066126813,0.008448233,
1/17/21,865,13,19944,839,11,18433,60,69,22413,22534,0.044401595,0.008519885,
1/18/21,595,12,12560,657,18,11536,58,69,22927,24077,0.051958831,0.008909797,
1/19/21,775,11,8494,772,8,9616,58,67,23933,25275,0.085422419,0.009327574,
1/20/21,672,16,13513,905,9,12563,58,65,25871,27498,0.060477067,0.010116308,
1/21/21,743,22,14677,910,24,14953,57,64,27866,29959,0.055788053,0.010960961,
1/22/21,1226,35,17422,1313,9,21198,55,61,29178,31244,0.065743138,0.011453233,
1/23/21,956,22,18876,987,5,16849,54,57,29508,31930,0.054387684,0.01164582,
1/24/21,622,5,15446,705,15,15553,54,57,30438,32558,0.042807833,0.011941145,
1/25/21,529,7,14525,579,11,14702,50,55,31903,33690,0.037910152,0.012433417,
1/26/21,514,0,8273,746,10,9671,47,54,34278,36801,0.070218457,0.01347331,
1/27/21,629,14,11318,622,8,10485,48,52,37628,39286,0.057377425,0.014579358,
1/28/21,812,21,15015,758,26,13875,45,50,40780,41512,0.054344064,0.015598779,
1/29/21,675,8,18358,790,8,19910,43,47,43660,43296,0.038282638,0.016482859,
1/30/21,599,12,18811,562,13,16830,42,47,44984,44520,0.032574844,0.016965843,
1/31/21,473,13,15499,419,8,14935,41,44,45961,45468,0.029309325,0.017330734,
2/1/21,408,0,12041,443,13,11551,39,44,47796,46747,0.03607155,0.017921006,
2/2/21,324,23,6532,329,0,7919,39,42,50757,50395,0.045187184,0.019173768,
2/3/21,473,9,13043,533,16,11461,38,42,53002,52788,0.041054522,0.02005292,
2/4/21,577,17,16093,564,3,15866,37,42,56207,56258,0.035701993,0.021318193,
2/5/21,620,9,17364,695,22,18366,36,42,58681,58770,0.036803806,0.022263309,
2/6/21,570,13,16053,570,6,13453,35,43,61195,61254,0.03863621,0.0232107,
2/7/21,416,8,12960,398,2,13496,37,43,61805,62240,0.030768068,0.023513228,
2/8/21,229,4,10462,335,14,8179,38,42,64532,64769,0.030255888,0.024509524,
2/9/21,266,6,6504,373,0,6949,35,40,67014,68191,0.047498699,0.025628651,
2/10/21,398,9,9944,512,7,9959,34,37,70740,72041,0.04572175,0.027064712,
2/11/21,575,25,15499,339,29,16072,35,37,76625,79012,0.028950619,0.029501619,
2/12/21,535,11,17406,457,3,18216,34,34,80777,85853,0.027847959,0.031585386,
2/13/21,392,1,14189,376,5,13058,34,33,83404,91228,0.028186589,0.033102197,
2/14/21,272,8,12757,301,7,9972,32,31,85228,93843,0.025210084,0.033943628,
2/15/21,244,5,10101,264,19,10082,28,30,86628,94949,0.025169697,0.03441865,
2/16/21,195,13,6482,253,11,6470,27,30,88608,97684,0.034589253,0.035312397,
2/17/21,123,7,7989,431,2,7267,25,28,93467,102588,0.036313582,0.037163013,
2/18/21,259,8,9427,303,20,9188,24,31,99727,109013,0.030190706,0.039567506,
2/19/21,271,9,14550,433,6,12528,23,29,105330,115629,0.025998966,0.041883667,
2/20/21,333,3,12994,356,7,11569,23,29,106233,116708,0.02805032,0.042259363,
2/21/21,272,4,14880,284,5,11187,24,29,111546,123832,0.021329651,0.044616846,
2/22/21,233,5,8176,223,19,6267,24,29,115136,127341,0.031572388,0.04596249,
2/23/21,221,12,8616,321,1,7707,24,28,121195,133298,0.033204681,0.048240171,
2/24/21,412,7,11578,340,9,9661,24,28,133860,141268,0.035406563,0.052151618,
2/25/21,231,8,14656,290,1,14246,22,24,142340,148929,0.018026434,0.05521121,
2/26/21,587,13,16446,401,10,14605,19,25,150867,157890,0.031818621,0.05852613,
2/27/21,419,6,15304,331,6,12238,20,27,160185,165672,0.027231138,0.061767504,
2/28/21,236,5,12821,217,3,9073,19,26,164434,168412,0.0206906,0.063092297,
3/1/21,253,7,8061,235,3,7499,20,26,170099,173384,0.031362468,0.065108583,
3/2/21,299,5,8548,202,26,7132,21,25,177684,179496,0.031951531,0.067704905,
3/3/21,388,4,12307,320,2,9289,20,25,186506,187013,0.032783849,0.070802028,
3/4/21,559,4,13255,182,7,11658,22,24,202908,197778,0.029743507,0.075951642,
3/5/21,319,11,17952,227,0,16527,21,24,214301,205484,0.015835726,0.079571934,
3/6/21,531,3,14549,586,16,12349,22,22,225930,212993,0.041527251,0.083199619,
3/7/21,207,5,13785,179,1,9836,23,23,228839,214827,0.016341391,0.084098673,
3/8/21,229,2,9045,248,0,7581,22,23,237896,221403,0.028690004,0.087061971,
3/9/21,244,2,6631,308,0,6257,21,24,248813,228558,0.04283054,0.090487592,
3/10/21,231,2,10245,343,5,9008,22,24,260591,237178,0.029813536,0.094354115,
3/11/21,298,11,15453,316,19,13757,21,25,274207,244379,0.021020199,0.098300061,
3/12/21,301,0,16874,385,2,16506,20,24,289211,254326,0.020551228,0.103029623,
3/13/21,387,12,13794,250,1,10725,19,25,299028,262135,0.025979852,0.106370702,
3/14/21,276,2,12660,273,3,10264,19,27,309894,268365,0.0239487,0.109611318,
3/15/21,175,4,8712,134,3,6333,21,27,318034,274470,0.020538385,0.112311515,
3/16/21,361,1,9022,503,7,7639,23,26,327620,281759,0.051857632,0.115510239,
3/17/21,245,6,12629,328,0,10046,24,26,335545,288673,0.025270121,0.118323031,
3/18/21,540,5,15605,512,4,15000,25,27,345112,296401,0.034373468,0.121601368,
3/19/21,492,1,17709,467,1,16396,28,29,354051,303743,0.028119044,0.124687497,
3/20/21,415,8,15389,457,3,13249,30,29,361486,310523,0.030449054,0.127382007,
3/21/21,348,8,13958,299,8,10873,33,29,364881,312648,0.02605614,0.128428345,
3/22/21,252,3,9544,292,13,7772,33,32,370774,318221,0.031416031,0.130601771,
3/23/21,288,9,7240,403,0,6843,35,34,377044,324469,0.04906625,0.132974609,
3/24/21,523,3,12925,654,0,11210,37,35,382706,330354,0.04876735,0.135163389,
3/25/21,437,2,17096,414,7,14200,38,36,390076,337844,0.027191973,0.137980162,
3/26/21,745,10,15250,580,2,12949,38,36,399179,349103,0.046987482,0.141839861,
3/27/21,658,2,17454,473,4,14187,37,37,408415,362337,0.035744762,0.146099139,
3/28/21,638,3,14542,444,4,10879,37,39,412419,365478,0.042563235,0.147453503,
3/29/21,389,0,10585,419,1,9208,38,39,417943,371740,0.040822513,0.149687587,
3/30/21,490,7,7679,508,2,8277,36,40,426872,382982,0.062547004,0.153511081,
3/31/21,554,3,12709,475,17,10973,38,42,433540,392815,0.043450722,0.156638912,
4/1/21,745,3,19300,799,4,17476,38,40,443599,403823,0.041983903,0.160632246,
4/2/21,752,9,17430,733,6,16029,39,40,455871,417463,0.044382677,0.16554397,
4/3/21,701,2,14485,592,3,12517,44,44,466461,430643,0.047885342,0.170049669,
4/4/21,501,3,14816,461,7,12581,44,43,469770,436866,0.035113334,0.171856498,
4/5/21,558,2,11649,476,3,10380,44,45,478971,449439,0.046938127,0.175983847,
4/6/21,593,3,8463,584,-1,7810,49,46,493209,464125,0.072328397,0.181466507,
4/7/21,790,6,12309,658,1,11770,50,46,506798,481129,0.060135388,0.187265534,
4/8/21,873,4,18790,725,20,17227,54,49,524724,499729,0.044367937,0.194189184,
4/9/21,844,4,18553,736,2,18412,56,48,548270,522207,0.042743135,0.202913218,
4/10/21,863,4,16574,757,1,15582,57,47,566105,540434,0.0503794,0.209748915,
4/11/21,523,3,15908,624,1,11578,58,50,573366,548956,0.041730335,0.212740646,
4/12/21,565,4,10430,550,12,10754,60,49,587820,565184,0.052634063,0.218556542,
4/13/21,578,4,10462,609,1,8507,59,49,605275,582759,0.062575782,0.22519662,
4/14/21,687,4,13966,637,11,12037,58,49,619539,599099,0.050917202,0.230997731,
4/15/21,771,4,18935,638,7,20128,57,50,638149,618709,0.036069938,0.238242485,
4/16/21,805,0,16386,761,5,15997,57,54,656447,638220,0.048358707,0.245409333,
4/17/21,659,11,17383,609,1,14353,56,55,670348,654022,0.039954626,0.251039656,
4/18/21,519,0,14727,533,5,12431,57,57,676380,663175,0.038736284,0.253918034,
4/19/21,456,9,10719,402,2,10099,55,60,687325,678913,0.041214334,0.258975904,
4/20/21,412,4,9838,634,0,9362,54,60,706050,695961,0.054479167,0.26575682,
4/21/21,562,6,13694,432,2,11342,56,57,723924,713526,0.039702828,0.272474425,
4/22/21,621,6,15953,641,7,17953,54,55,741088,728762,0.037220551,0.278615975,
4/23/21,644,3,16841,604,6,17689,51,52,755957,744711,0.036142485,0.284457651,
4/24/21,683,3,17803,552,6,15167,52,51,767086,757937,0.037458295,0.289074239,
4/25/21,392,8,13615,436,8,10088,51,47,771550,761766,0.034932287,0.290646211,
4/26/21,400,2,10259,438,4,9313,53,48,782779,773833,0.042816268,0.295062061,
4/27/21,405,11,9398,567,0,9446,54,48,796143,788322,0.051581405,0.300341709,
4/28/21,448,10,13986,483,6,12130,53,49,810087,804880,0.035648645,0.306123486,
4/29/21,654,10,16064,737,5,18315,52,49,825126,821078,0.040460746,0.312044585,
4/30/21,601,4,18179,564,6,19180,52,48,837520,835186,0.031183918,0.317068145,
5/1/21,530,3,15024,622,5,14200,53,47,842970,843757,0.039419655,0.319725882,
5/2/21,401,8,15234,369,2,11447,54,48,844087,845809,0.028859488,0.320326579,
5/3/21,445,2,10408,395,15,9864,54,45,851042,853727,0.041436464,0.323145816,
5/4/21,418,7,9597,453,2,9384,55,44,865367,869553,0.045887993,0.328861059,
5/5/21,455,9,11219,455,3,10736,55,44,879667,883572,0.041448417,0.334229039,
5/6/21,292,7,15932,348,5,19587,55,44,891350,894746,0.018018525,0.338561675,
5/7/21,699,9,17934,673,6,18343,52,45,907397,912231,0.037820106,0.344917801,
5/8/21,354,6,15868,321,3,13127,51,46,921060,925576,0.023279876,0.350037276,
5/9/21,373,5,13616,385,7,11720,50,47,931499,935740,0.029917903,0.353942657,
5/10/21,322,6,8964,339,1,8205,48,49,942758,944236,0.038499621,0.357687297,
5/11/21,249,6,7685,298,9,7637,44,48,954524,956950,0.0357003,0.362327579,
5/12/21,272,6,12509,349,3,10541,44,47,965437,968403,0.026941432,0.366567144,
5/13/21,329,9,15796,433,4,16179,40,43,976189,980156,0.023831118,0.370833058,
5/14/21,369,7,15080,375,7,16976,39,39,991952,997537,0.023209384,0.377115636,
5/15/21,275,13,14005,300,9,13919,40,36,1002020,1008888,0.020591606,0.381175694,
5/16/21,242,5,10143,306,3,9177,39,34,1005208,1013624,0.028364389,0.38267772,
5/17/21,208,0,6815,229,3,6499,40,32,1012078,1020750,0.032822593,0.385330718,
5/18/21,251,9,10888,326,5,9974,42,31,1023869,1031533,0.027657943,0.38960971,
5/19/21,281,7,12473,339,6,11037,40,28,1034659,1041813,0.026371757,0.393603613,
5/20/21,309,8,14727,354,7,14944,41,28,1051306,1055480,0.022345051,0.399349754,
5/21/21,252,1,14688,429,2,14389,39,27,1061395,1064468,0.023420573,0.402965876,
5/22/21,219,12,11608,291,9,11726,37,28,1070236,1073428,0.021856518,0.406340127,
5/23/21,187,2,10211,257,7,9479,36,29,1073460,1076528,0.022549518,0.407538867,
5/24/21,200,7,7861,271,1,6676,33,28,1080395,1082014,0.032400083,0.409893317,
5/25/21,129,4,6313,169,6,7766,32,28,1087535,1089314,0.021166276,0.412630477,
5/26/21,196,0,9985,250,5,9940,33,28,1095105,1096652,0.02238394,0.415456348,
5/27/21,139,7,12652,272,9,11915,31,26,1102580,1103866,0.016729759,0.418240707,
5/28/21,208,7,11352,227,3,11251,28,24,1109411,1110932,0.019245233,0.42087494,
5/29/21,107,5,12665,183,9,11581,25,21,1114831,1116082,0.011960736,0.422878526,
