ReportDate,CountyName,CumulativeCases,CasesChange,TotalTested,TotalTestedChange,Deaths,DeathsChange
3/17/20 0:00,Cook,107,107,0,0,1,1
3/18/20 0:00,Cook,178,71,0,0,1,0
3/19/20 0:00,Cook,278,100,0,0,2,1
3/20/20 0:00,Cook,411,133,0,0,3,1
3/21/20 0:00,Cook,548,137,0,0,4,1
3/22/20 0:00,Cook,286,-262,0,0,2,-2
3/24/20 0:00,Cook,412,126,0,0,7,5
3/25/20 0:00,Cook,503,91,0,0,8,1
3/26/20 0:00,Cook,743,240,0,0,9,1
3/27/20 0:00,Cook,875,132,0,0,11,2
3/28/20 0:00,Cook,1003,128,0,0,16,5
3/29/20 0:00,Cook,1419,416,0,0,24,8
3/30/20 0:00,Cook,1529,110,0,0,28,4
3/31/20 0:00,Cook,1803,274,0,0,39,11
4/1/20 0:00,Cook,2065,262,0,0,56,17
4/2/20 0:00,Cook,2296,231,0,0,66,10
4/3/20 0:00,Cook,2711,415,0,0,84,18
4/4/20 0:00,Cook,3143,432,0,0,91,7
4/5/20 0:00,Cook,3420,277,0,0,96,5
4/6/20 0:00,Cook,3661,241,0,0,101,5
4/7/20 0:00,Cook,4003,342,0,0,114,13
4/8/20 0:00,Cook,4428,425,0,0,135,21
4/9/20 0:00,Cook,4767,339,0,0,153,18
4/10/20 0:00,Cook,5242,475,0,0,180,27
4/11/20 0:00,Cook,5633,391,0,0,204,24
4/12/20 0:00,Cook,6082,449,0,0,218,14
4/13/20 0:00,Cook,6390,308,0,0,235,17
4/14/20 0:00,Cook,6707,317,0,0,249,14
4/15/20 0:00,Cook,7114,407,0,0,269,20
4/16/20 0:00,Cook,7445,331,0,0,308,39
4/17/20 0:00,Cook,7982,537,0,0,333,25
4/18/20 0:00,Cook,8388,406,0,0,369,36
4/19/20 0:00,Cook,8739,351,0,0,385,16
4/20/20 0:00,Cook,9088,349,0,0,401,16
4/21/20 0:00,Cook,9627,539,0,0,433,32
4/22/20 0:00,Cook,10152,525,0,0,468,35
4/23/20 0:00,Cook,10738,586,0,0,501,33
4/24/20 0:00,Cook,11504,766,0,0,542,41
4/25/20 0:00,Cook,11949,445,0,0,559,17
4/26/20 0:00,Cook,12709,760,0,0,573,14
4/27/20 0:00,Cook,13271,562,0,0,575,2
4/28/20 0:00,Cook,13855,584,0,0,654,79
4/29/20 0:00,Cook,14467,612,0,0,665,11
4/30/20 0:00,Cook,15022,555,0,0,713,48
5/1/20 0:00,Cook,15950,928,0,0,728,15
5/2/20 0:00,Cook,16611,661,0,0,765,37
5/3/20 0:00,Cook,17460,849,0,0,777,12
5/4/20 0:00,Cook,17910,450,79625,79625,781,4
5/5/20 0:00,Cook,18617,707,82311,2686,854,73
5/6/20 0:00,Cook,19249,632,85360,3049,892,38
5/7/20 0:00,Cook,19900,651,88752,3392,926,34
5/8/20 0:00,Cook,20701,801,93437,4685,949,23
5/9/20 0:00,Cook,21281,580,96639,3202,975,26
5/10/20 0:00,Cook,21705,424,99404,2765,980,5
5/11/20 0:00,Cook,22054,349,102367,2963,985,5
5/12/20 0:00,Cook,22913,859,108019,5652,1008,23
5/13/20 0:00,Cook,23332,419,110923,2904,1096,88
5/14/20 0:00,Cook,24116,784,115250,4327,1123,27
5/15/20 0:00,Cook,24722,606,120215,4965,1156,33
5/16/20 0:00,Cook,25206,484,124890,4675,1194,38
5/17/20 0:00,Cook,25597,391,129072,4182,1203,9
5/18/20 0:00,Cook,26256,659,133460,4388,1208,5
5/19/20 0:00,Cook,26772,516,137341,3881,1251,43
5/20/20 0:00,Cook,27374,602,143683,6342,1287,36
5/21/20 0:00,Cook,27796,422,149334,5651,1300,13
5/22/20 0:00,Cook,28484,688,156987,7653,1337,37
5/23/20 0:00,Cook,29015,531,162795,5808,1351,14
5/24/20 0:00,Cook,29638,623,168522,5727,1362,11
5/25/20 0:00,Cook,30130,492,174292,5770,1369,7
5/26/20 0:00,Cook,30447,317,178036,3744,1374,5
5/27/20 0:00,Cook,30743,296,182412,4376,1434,60
5/28/20 0:00,Cook,31136,393,186753,4341,1469,35
5/29/20 0:00,Cook,31600,464,191469,4716,1495,26
5/30/20 0:00,Cook,32034,434,196511,5042,1505,10
5/31/20 0:00,Cook,32398,364,201335,4824,1519,14
6/1/20 0:00,Cook,32658,260,205718,4383,1526,7
6/2/20 0:00,Cook,32940,282,209388,3670,1580,54
6/3/20 0:00,Cook,33227,287,213866,4478,1597,17
6/4/20 0:00,Cook,33462,235,218736,4870,1628,31
6/5/20 0:00,Cook,33793,331,222040,3304,1639,11
6/6/20 0:00,Cook,34020,227,227213,5173,1660,21
6/7/20 0:00,Cook,34252,232,231879,4666,1673,13
6/8/20 0:00,Cook,34456,204,235563,3684,1676,3
6/9/20 0:00,Cook,34668,212,240364,4801,1704,28
6/10/20 0:00,Cook,34843,175,244959,4595,1739,35
6/11/20 0:00,Cook,35039,196,249144,4185,1759,20
6/12/20 0:00,Cook,35148,109,254346,5202,1793,34
6/13/20 0:00,Cook,35296,148,258613,4267,1801,8
6/14/20 0:00,Cook,35457,161,263298,4685,1804,3
6/15/20 0:00,Cook,35581,124,267653,4355,1807,3
6/16/20 0:00,Cook,35762,181,271477,3824,1826,19
6/17/20 0:00,Cook,35929,167,277647,6170,1861,35
6/18/20 0:00,Cook,36095,166,282263,4616,1874,13
6/19/20 0:00,Cook,36274,179,286765,4502,1882,8
6/20/20 0:00,Cook,36460,186,291787,5022,1898,16
6/21/20 0:00,Cook,36636,176,296660,4873,1897,-1
6/22/20 0:00,Cook,36789,153,300521,3861,1898,1
6/23/20 0:00,Cook,36951,162,304141,3620,1913,15
